relative_path,status,category,size_bytes,note
.env.example,active_scaffold,misc,228,Active environment template for optional Hugging Face and W&B credentials plus reproducibility defaults.
archive/20260304_222305/RUNPOD_NEXT_STEPS_DETAILED_REPORT.md,archived_historical,doc,4521,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/SOURCE_REGISTRY.md,archived_historical,doc,1604,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/train_dpo_qwen35_4b_unsloth.yaml,archived_historical,yaml,1293,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/train_sft_qwen35_4b_unsloth.yaml,archived_historical,yaml,2085,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/20260304_222305/WHAT_STILL_CAN_FAIL.md,archived_historical,doc,1320,Historical cleanup/rebuild artifact from 2026-03-04; preserved for traceability and superseded by the active scaffold.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_nested/output/full_run_codex_spark_xhigh/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_nested/output/full_run_codex_spark_xhigh/run_manifest.json,archived_historical,json,28427,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_nested/output/full_run_continue_v13_strict/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_nested/output/full_run_continue_v13_strict/run_manifest.json,archived_historical,json,28493,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/category_manifest.json,archived_historical,json,640,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/final_identity_report.md,archived_historical,doc,1576,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/language_manifest.json,archived_historical,json,683,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/multimodal_manifest.json,archived_historical,json,150,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/preference_dataset.jsonl,archived_historical,jsonl,36814116,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/review_report.json,archived_historical,json,3895,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/run_manifest.json,archived_historical,json,28498,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/sft_dataset.jsonl,archived_historical,jsonl,158096857,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/spot_checks.jsonl,archived_historical,jsonl,16771,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v10/stress_test_pack.jsonl,archived_historical,jsonl,31791,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/category_manifest.json,archived_historical,json,621,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/language_manifest.json,archived_historical,json,645,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/multimodal_manifest.json,archived_historical,json,141,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/preference_dataset.jsonl,archived_historical,jsonl,695304,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/review_report.json,archived_historical,json,3929,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/run_manifest.json,archived_historical,json,28475,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/sft_dataset.jsonl,archived_historical,jsonl,125600,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/spot_checks.jsonl,archived_historical,jsonl,16788,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v11_strict/stress_test_pack.jsonl,archived_historical,jsonl,4472,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check/run_manifest.json,archived_historical,json,28474,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/category_manifest.json,archived_historical,json,629,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/language_manifest.json,archived_historical,json,664,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/multimodal_manifest.json,archived_historical,json,144,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/preference_dataset.jsonl,archived_historical,jsonl,3661829,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/review_report.json,archived_historical,json,3951,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/run_manifest.json,archived_historical,json,28475,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/sft_dataset.jsonl,archived_historical,jsonl,9254697,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/spot_checks.jsonl,archived_historical,jsonl,18239,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_check2/stress_test_pack.jsonl,archived_historical,jsonl,37586,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_sft20k/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_sft20k/run_manifest.json,archived_historical,json,28475,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict/run_manifest.json,archived_historical,json,28475,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_bg/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_bg/run_manifest.json,archived_historical,json,28478,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_fullsample/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_fullsample/run_manifest.json,archived_historical,json,28486,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_pairs100/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_pairs100/run_manifest.json,archived_historical,json,28484,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_sft_only/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v12_strict_sft_only/run_manifest.json,archived_historical,json,28484,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v13_strict/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v13_strict/run_manifest.json,archived_historical,json,28475,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v9b/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/full_run_continue_v9b/run_manifest.json,archived_historical,json,28468,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/manual_run_30pct/preference_dataset.jsonl,archived_historical,jsonl,15363837,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/manual_run_30pct/review_report.json,archived_historical,json,1773,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/manual_run_30pct/run_manifest.json,archived_historical,json,28470,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/manual_run_30pct/sft_dataset.jsonl,archived_historical,jsonl,39487972,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/category_manifest.json,archived_historical,json,605,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/language_manifest.json,archived_historical,json,631,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/multimodal_manifest.json,archived_historical,json,136,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/preference_dataset.jsonl,archived_historical,jsonl,3068,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/review_report.json,archived_historical,json,3355,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/run_manifest.json,archived_historical,json,27386,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/sft_dataset.jsonl,archived_historical,jsonl,40681,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/spot_checks.jsonl,archived_historical,jsonl,16858,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run/stress_test_pack.jsonl,archived_historical,jsonl,3342,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/category_manifest.json,archived_historical,json,615,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/language_manifest.json,archived_historical,json,643,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/multimodal_manifest.json,archived_historical,json,137,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/preference_dataset.jsonl,archived_historical,jsonl,0,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/review_report.json,archived_historical,json,3388,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/run_manifest.json,archived_historical,json,27387,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/sft_dataset.jsonl,archived_historical,jsonl,100403,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/spot_checks.jsonl,archived_historical,jsonl,16709,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run2/stress_test_pack.jsonl,archived_historical,jsonl,4010,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/category_manifest.json,archived_historical,json,619,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/language_manifest.json,archived_historical,json,649,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/multimodal_manifest.json,archived_historical,json,142,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/preference_dataset.jsonl,archived_historical,jsonl,464765,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/review_report.json,archived_historical,json,3866,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/run_manifest.json,archived_historical,json,28477,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/sft_dataset.jsonl,archived_historical,jsonl,1874571,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/spot_checks.jsonl,archived_historical,jsonl,18339,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v12_strict/stress_test_pack.jsonl,archived_historical,jsonl,29309,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/category_manifest.json,archived_historical,json,616,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/language_manifest.json,archived_historical,json,641,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/multimodal_manifest.json,archived_historical,json,140,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/preference_dataset.jsonl,archived_historical,jsonl,44882,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/review_report.json,archived_historical,json,3852,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/run_manifest.json,archived_historical,json,28469,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/sft_dataset.jsonl,archived_historical,jsonl,86048,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/spot_checks.jsonl,archived_historical,jsonl,16244,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v6/stress_test_pack.jsonl,archived_historical,jsonl,4330,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/category_manifest.json,archived_historical,json,615,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/how_dataset_could_still_fail.md,archived_historical,doc,379,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/identity_policy_sheet.md,archived_historical,doc,6438,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/language_manifest.json,archived_historical,json,639,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/multimodal_manifest.json,archived_historical,json,140,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/preference_dataset.jsonl,archived_historical,jsonl,368070,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/review_report.json,archived_historical,json,3861,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
archive/legacy_generated/pre_2026_03_04_rebuild/Dataset/identity_dataset_output/sample_run_continue_v7/run_manifest.json,archived_historical,json,28469,Archived prior identity-dataset run artifact retained for audit comparison; not the canonical current identity output.
