"relative_path","status","category","size_bytes","note"
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\multimodal_manifest.json","active","json","150","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\preference_dataset.jsonl","active","misc","36814116","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\review_report.json","active","json","3895","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\run_manifest.json","active","json","28498","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\sft_dataset.jsonl","active","misc","158096857","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\spot_checks.jsonl","active","misc","16771","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v10\stress_test_pack.jsonl","active","misc","31791","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\category_manifest.json","active","json","621","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\language_manifest.json","active","json","645","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\multimodal_manifest.json","active","json","141","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\preference_dataset.jsonl","active","misc","695304","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\review_report.json","active","json","3929","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\run_manifest.json","active","json","28475","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\sft_dataset.jsonl","active","misc","125600","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\spot_checks.jsonl","active","misc","16788","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v11_strict\stress_test_pack.jsonl","active","misc","4472","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check\run_manifest.json","active","json","28474","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\category_manifest.json","active","json","629","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\language_manifest.json","active","json","664","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\multimodal_manifest.json","active","json","144","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\preference_dataset.jsonl","active","misc","3661829","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\review_report.json","active","json","3951","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\run_manifest.json","active","json","28475","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\sft_dataset.jsonl","active","misc","9254697","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\spot_checks.jsonl","active","misc","18239","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_check2\stress_test_pack.jsonl","active","misc","37586","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_sft20k\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_sft20k\run_manifest.json","active","json","28475","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict\run_manifest.json","active","json","28475","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_bg\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_bg\run_manifest.json","active","json","28478","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_fullsample\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_fullsample\run_manifest.json","active","json","28486","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_pairs100\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_pairs100\run_manifest.json","active","json","28484","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_sft_only\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v12_strict_sft_only\run_manifest.json","active","json","28484","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v13_strict\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v13_strict\run_manifest.json","active","json","28475","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v9b\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\full_run_continue_v9b\run_manifest.json","active","json","28468","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\manual_run_30pct\preference_dataset.jsonl","active","misc","15363837","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\manual_run_30pct\review_report.json","active","json","1773","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\manual_run_30pct\run_manifest.json","active","json","28470","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\manual_run_30pct\sft_dataset.jsonl","active","misc","39487972","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\category_manifest.json","active","json","605","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\language_manifest.json","active","json","631","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\multimodal_manifest.json","active","json","136","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\preference_dataset.jsonl","active","misc","3068","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\review_report.json","active","json","3355","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\run_manifest.json","active","json","27386","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\sft_dataset.jsonl","active","misc","40681","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\spot_checks.jsonl","active","misc","16858","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run\stress_test_pack.jsonl","active","misc","3342","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\category_manifest.json","active","json","619","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\language_manifest.json","active","json","649","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\multimodal_manifest.json","active","json","142","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\preference_dataset.jsonl","active","misc","464765","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\review_report.json","active","json","3866","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\run_manifest.json","active","json","28477","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\sft_dataset.jsonl","active","misc","1874571","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\spot_checks.jsonl","active","misc","18339","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v12_strict\stress_test_pack.jsonl","active","misc","29309","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\category_manifest.json","active","json","616","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\language_manifest.json","active","json","641","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\multimodal_manifest.json","active","json","140","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\preference_dataset.jsonl","active","misc","44882","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\review_report.json","active","json","3852","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\run_manifest.json","active","json","28469","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\sft_dataset.jsonl","active","misc","86048","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\spot_checks.jsonl","active","misc","16244","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v6\stress_test_pack.jsonl","active","misc","4330","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\category_manifest.json","active","json","615","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\language_manifest.json","active","json","639","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\multimodal_manifest.json","active","json","140","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\preference_dataset.jsonl","active","misc","368070","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\review_report.json","active","json","3861","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\run_manifest.json","active","json","28469","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\sft_dataset.jsonl","active","misc","98616","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\spot_checks.jsonl","active","misc","16105","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v7\stress_test_pack.jsonl","active","misc","4860","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\category_manifest.json","active","json","621","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\language_manifest.json","active","json","641","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\multimodal_manifest.json","active","json","141","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\preference_dataset.jsonl","active","misc","652662","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\review_report.json","active","json","3916","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\run_manifest.json","active","json","28469","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\sft_dataset.jsonl","active","misc","118041","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\spot_checks.jsonl","active","misc","15951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v8\stress_test_pack.jsonl","active","misc","4754","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\category_manifest.json","active","json","621","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\language_manifest.json","active","json","646","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\multimodal_manifest.json","active","json","141","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\preference_dataset.jsonl","active","misc","702484","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\review_report.json","active","json","3922","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\run_manifest.json","active","json","28469","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\sft_dataset.jsonl","active","misc","126973","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\spot_checks.jsonl","active","misc","16717","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9\stress_test_pack.jsonl","active","misc","4506","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\_tmp_validate_run.py","active","misc","8105","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\category_manifest.json","active","json","614","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\consolidated_validation_report.md","active","doc","3676","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\final_identity_report.md","active","doc","3784","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\language_manifest.json","active","json","637","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\multimodal_manifest.json","active","json","138","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\preference_dataset.jsonl","active","misc","713030","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\review_report.json","active","json","3908","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\run_manifest.json","active","json","28470","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\sft_dataset.jsonl","active","misc","128814","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\spot_checks.jsonl","active","misc","16432","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\stress_test_pack.jsonl","active","misc","5039","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_continue_v9b\validation_snapshot.json","active","json","4391","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\category_manifest.json","active","json","615","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\how_dataset_could_still_fail.md","active","doc","379","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\identity_policy_sheet.md","active","doc","6438","Documentation artifact in the current workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\language_manifest.json","active","json","649","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\multimodal_manifest.json","active","json","143","Current configuration or metadata artifact in the workspace."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\identity_dataset_output\sample_run_verify\preference_dataset.jsonl","active","misc","376321","Repository artifact reviewed during the PM audit."
